문항(키워드),자기소개서,회사,직무,지원 시기,대학 분류,전공,학점,언어,경험,기타
3. 직무와 관련하여 성과를 창출한 경험,"[목표를 넘어선 성과의 비결: 성실함과 자신감]미국 법률 사무소에서 변호사 보증 협약 의원 영업 보조 업무를 수행했습니다. 처음에는 이 제도에 대한 이해가 부족하여, 여러 의원에게 콜드콜을 진행하면서 회사의 우수성을 충분히 보여주지 못했습니다. 이에 따라 거절을 연속적으로 경험하게 되었지만, 이런 상황은 오히려 저의 도전 의식을 불태웠습니다.`20곳의 의원으로부터 긍정적인 반응을 받자`라는 목표를 세운 후, 개인 시간까지 투자하여 철저한 시장 조사와 미국의 제도 학습에 매진하였습니다. 의원들이 위치한 사우스캐롤라이나주에서 회사의 고객 증가 추세, 교통사고 케이스에서 100%의 승소율, 그리고 신속한 병원비 지급이라는 회사의 경쟁력 있는 서비스 포인트 등을 파악하고, 이를 의원들에게 전략적으로 제시할 수 있었습니다.이러한 정보를 충분히 이해하고 나니, 콜드콜을 보다 자신감 있게 진행할 수 있었고, 기존 목표치를 20% 초과하는 성과를 이뤄냈습니다. 이 경험을 통해, 영업의 핵심인 새로운 지식을 습득하는 성실함과 자신감 있는 태도를 습득할 수 있었습니다. 또한, 실패를 두려워하지 않고, 실패를 통해 발전하는 자세와 준비된 마음가짐이 중요하다는 것을 알게 되었습니다. 마지막으로, 고객과 자신감 있게 소통할 때만 회사가 전하고자 하는 진정한 가치를 전달할 수 있음을 깨달았습니다.",한유 SK ETS,글로벌비즈니스팀/BI사업부,2024 상반기,전남대,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 인턴, 국내 현장실습, 호주 거주 2년","학점 4.3/4.5 마케팅 대외활동 2회, 개발동아리, 봉사 70시간, 성적장학금 기타: SQLD, GTQ, 운전면허"
1. 한국후지필름에 지원한 동기를 기술해주시기 바랍니다. (500자),"[의원 영업에서 느낀 영업의 즐거움: 한국후지필름으로 새로운 시작]미국 로펌에서 의원 영업을 한 경험이 있습니다. 변호사 보증 협약을 위하여 지역 내의 여러 병원과 계약하기 위한 업무를 보조하였습니다. 이를 위해, 회사의 교통사고 케이스 승소율 100%인 점, 병원비 지급이 그래서 빠른 점 등을 숙지하였습니다. 이렇게 정보를 수집한 뒤, 콜드콜을 하여 회사의 강점을 자신 있게 강조한 덕분에 약 20곳에서 계약과 관련해 긍정적인 답변을 받을 수 있었습니다. 이후, 노력한 만큼 성과가 눈에 보이는 영업직에 흥미를 느꼈으며 특히, 여러 문화권의 사람들과 일할 수 있는 해외 영업에 관심을 갖게 되었습니다. 또한, 도쿄 여행 중 방문한 후지필름 전시회를 방문하며, 기술 위주의 현대 사회 속에서도 인본주의적 메시지를 일관되게 전달하는 후지필름의 미션에 깊은 인상을 받았습니다. 그래서 한국후지필름에서도 자신감 있고 전략적으로 해외 영업직을 수행하고 싶다는 목표를 갖게 되었습니다.",한국후지필름,해외영업,2024 상반기,전남대,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 인턴(영업), 국내 현장실습(영업, 마케팅), 호주 거주 2년(영업직 경험 有)","학점 4.3/4.5 CJ 대외활동, 마케팅 대외활동, 성적장학금, 개발동아리, 봉사 70시간 기타: SQLD, GTQ, 운전면허"
2. 본인 성격의 장단점을 기술해주시기 바랍니다. (700자),"[장점: 책임감과 계획성]현장실습에서 메타버스 기반 대학 정시 박람회 프로젝트를 성공적으로 총괄하며 강한 책임감과 꼼꼼함을 발휘했습니다. 프로젝트 전체를 관리하는 데 있어, 시간 약속 준수와 업무의 효율성을 우선시하였습니다. 매일 20분 일찍 출근하여 일정을 10분 단위로 세분화하며, '해야 할 사항', '완료한 사항', 그리고 '미처 처리하지 못한 사항'으로 작업을 구분하고 철저히 관리하였습니다. 철저하게 시간 약속을 지킨 덕분에 대학 관계자들의 신뢰를 얻을 수 있었고, 대학별 요구사항 조율에도 큰 도움이 되었습니다. 결과적으로 예정보다 하루 앞서 메타버스 맵을 완성하고, 관계자들과 충분한 실전 연습을 통해 박람회를 성공적으로 마칠 수 있었습니다.[단점: 강한 목표지향적 성향]강한 목표지향적인 성향을 가지고 있어, 때로는 과욕이 될 때도 있었습니다. CJ 리모트 인턴십에서 자전거 교통사고 해결책 모색 프로젝트를 수행하면서 가능한 많은 공공 데이터를 분석해 보다 정교한 결론 도출을 목표로 하였습니다. 하지만 프로젝트의 주제와 부합하지 않는 결과만 도출되며 프로젝트의 진행을 방해했습니다. 결국 핵심 데이터만 분석하며 원하는 결과를 도출할 수 있었습니다. 이 경험을 통해 과도한 목표 지향성이 때로는 문제를 야기할 수 있음을 깨달았고, 현실적인 상황을 고려해 목표를 설정하는 법을 배울 수 있었습니다.",한국후지필름,해외영업,2024 상반기,전남대,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 인턴(영업), 국내 현장실습(영업, 마케팅), 호주 거주 2년(영업직 경험 有)","학점 4.3/4.5 CJ 대외활동, 마케팅 대외활동, 성적장학금, 개발동아리, 봉사 70시간 기타: SQLD, GTQ, 운전면허"
3. 위기를 극복한 경험에 대해 기술해주시기 바랍니다. (700자),"[대본을 넘어, 고객을 만나다: 호주 태양열 발전 패널 영업]호주에서 가정집을 직접 방문하여 태양열 발전 패널 설치 영업이라는 낯선 업무에 도전하게 되었습니다. 처음에는 제품 설명 대본을 외우고 그대로 전달하여 영업을 진행했지만, 이러한 방식은 고객들에게 반감만 샀습니다. 결과적으로 보름 동안 단 한 건의 실적도 올리지 못했습니다.하지만 저는 이런 상황에 좌절하지 않고 빠르게 문제해결 방법을 찾았습니다. 수퍼바이저와 동료들에게 도움을 청하고, 실전과 같은 상황에서 영업 롤플레이를 하며 저의 문제점을 파악하고 해결책을 찾았습니다. 그래서 대본에 의존한 접근법 대신 '아이스 브레이킹'을 통해 일상 대화를 나누며 고객과의 친밀한 관계를 형성하는 연습을 진행했습니다. 또한, 고객의 주거 환경이나 가족 구성원에 적합한 제품을 추천할 수 있을 만큼 제품의 종류를 철저히 숙지하였습니다.이런 노력 덕분에 처음 만나는 고객에게도 웃음으로 인사를 건네고, 자신감 있고 친근한 태도로 제품을 설명할 수 있게 되었습니다. 그 결과, 팀 내 실적 3위까지 달성할 수 있었습니다.이 과정에서 배운 가장 중요한 교훈은, 개개인에 대한 진정성 있는 관심이 신뢰를 쌓고 결국 판매로 이어진다는 것이었습니다. 고객에게 진심으로 관심을 보이자, 그들 역시 제품에 관심을 갖게 되었습니다. 이를 통해 진정성 있는 커뮤니케이션의 힘을 체감할 수 있었습니다.",한국후지필름,해외영업,2024 상반기,전남대,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 인턴(영업), 국내 현장실습(영업, 마케팅), 호주 거주 2년(영업직 경험 有)","학점 4.3/4.5 CJ 대외활동, 마케팅 대외활동, 성적장학금, 개발동아리, 봉사 70시간 기타: SQLD, GTQ, 운전면허"
4. 지원한 직무와 관련하여 본인이 노력한 경험 사례를 기술해주시기 바랍니다. (700자),"[목표를 넘어선 성과의 비결: 성실함과 자신감]미국 법률 사무소에서 변호사 보증 협약 의원 영업 보조 업무를 수행했습니다. 처음에는 이 제도에 대한 이해가 부족하여, 여러 의원에게 콜드콜을 진행하면서 회사의 우수성을 충분히 보여주지 못했습니다. 이에 따라 거절을 연속적으로 경험하게 되었지만, 이런 상황은 오히려 저의 도전 의식을 불태웠습니다.'20곳의 의원으로부터 긍정적인 반응을 받자'라는 목표를 세운 후, 개인 시간까지 투자하여 철저한 시장 조사와 미국의 제도 학습에 매진하였습니다. 의원들이 위치한 사우스캐롤라이나주에서 회사의 고객 증가 추세, 교통사고 케이스에서 100%의 승소율, 그리고 신속한 병원비 지급이라는 회사의 경쟁력 있는 서비스 포인트 등을 파악하고, 이를 의원들에게 전략적으로 제시할 수 있었습니다.이러한 정보를 충분히 이해하고 나니, 콜드콜을 보다 자신감 있게 진행할 수 있었고, 기존 목표치를 20% 초과하는 성과를 이뤄냈습니다. 이 경험을 통해, 영업의 핵심인 새로운 지식을 습득하는 성실함과 자신감 있는 태도를 습득할 수 있었습니다. 또한, 실패를 두려워하지 않고, 실패를 통해 발전하는 자세와 준비된 마음가짐이 중요하다는 것을 알게 되었습니다. 마지막으로, 고객과 자신감 있게 소통할 때만 회사가 전하고자 하는 진정한 가치를 전달할 수 있음을 깨달았습니다.",한국후지필름,해외영업,2024 상반기,전남대,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 인턴(영업), 국내 현장실습(영업, 마케팅), 호주 거주 2년(영업직 경험 有)","학점 4.3/4.5 CJ 대외활동, 마케팅 대외활동, 성적장학금, 개발동아리, 봉사 70시간 기타: SQLD, GTQ, 운전면허"
"1. 최근에 본인이 가장 열정적으로 임했던 경험 1가지에 대해 다음 내용이 포함되도록 작성해 주세요. (당시 어려웠던 점, 본인 행동, 열정의 동기, 느낀점) (최대 500자 입력가능) "," [목표 초과 달성의 비결: 성실함과 자신감]미국의 법률 사무소에서 변호사 보증 협약 의원 영업을 보조하였습니다. 이 제도에 대한 이해가 부족하여 콜드콜을 진행하는 동안 회사의 조건을 적극적으로 어필하지 못했고, 여러 차례 거절을 경험하였습니다.그런데도 '20곳의 의원에게 긍정적인 응답 받기'라는 목표를 넘어서고 싶었습니다. 이를 위해 개인 시간까지 할애하여 제도를 학습하며 전략적인 접근 방법을 마련하였습니다. 구체적으로는, 병원 주변에서 고객이 증가하고 있는 상황, 교통사고 케이스에서 승소율이 100%임을 강조하는 것이었습니다.그 덕분에 자신감이 크게 상승하여 기존 목표를 20% 초과하여 달성할 수 있었으며, 영업의 핵심은 새로운 지식을 습득하는 성실함과 자신감 있는 태도라는 것을 깨달았습니다. 또한, 실패를 두려워하지 않고, 실패를 통해 발전하려는 자세와 준비된 마음가짐이 필요하며, 고객과 자신감 있게 소통할 때만 진정한 가치를 전달할 수 있음을 알게 되었습니다.",JW그룹,ETC영업원,2024 상반기,전남대,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 인턴 2개월, 국내 현장실습 6개월, 영어권 거주 2년","학점 4.3/4.5 CJ리모트 인턴십, 성적장학금, 개발동아리, 마케팅 대외활동, 봉사 70시간 기타: SQLD, GTQ2급, 운전면허"
"2. 조직 생활과 지원 직무 수행을 위한 본인의 강점에 대해 작성해 주세요. (최대 500자 입력가능) – 시간관리능력, 높은 회복탄력성","[시간 관리 및 신뢰 구축 능력]현장실습 중, 메타버스 기반 대학 정시 박람회 프로젝트를 총괄하게 되었습니다. 전체 프로젝트를 책임지는 것은 큰 도전이었지만, 박람회 일정 준수를 최우선으로 하였습니다.이를 위해 20분 일찍 출근하여 하루 일정을 10분 단위로 세밀하게 계획하였습니다. 또한, '해야 할 사항', '완료한 사항', '처리하지 못한 사항'의 3가지 카테고리로 일정을 관리하고, 이를 수시로 검토하였습니다. 이러한 방식으로 업무를 제시간에 완료했고, 혹여 지연되는 부분은 미리 양해를 구하는 등 시간 약속을 철저히 지키도록 노력하였습니다.이런 노력 덕분에 대학 관계자들로부터 신뢰를 얻을 수 있었고, 대학별 메타버스 맵 관련 요청 사항을 원활하게 조율할 수 있었습니다. 결과적으로, 계획한 날짜보다 하루 빠르게 메타버스 맵을 완성하였고, 대학 관계자들과 박람회 운영 실전 연습을 통해 문제없이 박람회를 운영할 수 있었습니다.",JW그룹,ETC영업원,2024 상반기,전남대,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 인턴 2개월, 국내 현장실습 6개월, 영어권 거주 2년","학점 4.3/4.5 CJ리모트 인턴십, 성적장학금, 개발동아리, 마케팅 대외활동, 봉사 70시간 기타: SQLD, GTQ2급, 운전면허"
3. JW에 입사하고자 하는 이유는 무엇이고 입사 후 기대하는 본인의 역할에 대해 작성해 주세요. (최대 500자 입력가능),"[JW에 대한 신뢰]사용자로서 느낀 JW의 탁월한 제품 품질과 고객 중심적 경영 철학을 함께 실현하고 싶기 때문입니다. 10년 동안 '프렌즈 아이드롭'을 사용하며, 제품의 다양성과 효능을 직접 느끼고, JW에 대한 깊은 신뢰를 갖게 되었습니다. 입사 후, 이러한 사용자 경험과 저의 역량을 바탕으로 JW의 가치를 전하겠습니다.[전문성 향상과 고객 만족도 극대화]목표 실적을 20% 초과 달성하는 JW인이 되겠습니다. 이를 위해 약제 분야의 지식과 성분에 대한 이해, 의약 트렌드 파악 등 전문성을 계속해서 쌓아가겠습니다. 고객에게 정확한 정보 제공은 물론이며, 투여량 조절 등도 실수 없이 안내할 것입니다. 더 나아가 JW가 추구하는 ‘고객 최우선’ 원칙을 업무에 반영함으로써, 의료 지원금과 주변 상권 의료 서비스 수요 등의 정보도 제공하여 고객 만족도를 극대화하겠습니다. 이를 바탕으로 고객과의 신뢰 관계를 더욱 견고하게 하고, JW의 핵심 인재로 성장하겠습니다.",JW그룹,ETC영업원,2024 상반기,전남대,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 미국 인턴 2개월, 국내 현장실습 6개월, 영어권 거주 2년","학점 4.3/4.5 CJ리모트 인턴십, 성적장학금, 개발동아리, 마케팅 대외활동, 봉사 70시간 기타: SQLD, GTQ2급, 운전면허"
1. 성장과정,"[글로벌 시민으로서의 성장: 선한 영향력을 미치는 삶] ""선한 영향을 주며 살아가자""는 고등학생 시절부터 어떤 사람이 되고자 하는지에 대한 고민에서 도출된 결론입니다. 이 고민을 해결하기 위해, 다양한 경험을 통해 성장해 나갔습니다. 고등학교를 졸업한 후부터 부모님과 독립하여 삶을 스스로 책임지며, 여러 아르바이트를 통해 다양한 사람들과 소통하는 법을 배웠습니다. 그러나 이런 경험만으로는 무언가 부족함을 느꼈고, 19세에 호주로 떠나게 되었습니다.주 7일을 일하면서도 영어 공부에 매진한 덕분에, 호주에서는 유대계, 히스패닉, 이슬람 등 다양한 문화적 배경을 가진 사람들과 교류하며, 새로운 관점과 다양한 시각으로 세상을 바라볼 수 있는 기회를 얻었습니다. 그 과정은 쉽지 않았지만, 처음 만났음에도 이사를 도와준 우버 기사 등 많은 사람들의 선의 덕분에 2년 간의 외국 생활을 이어 나갈 수 있었습니다. 저 또한 이런 선의를 받으며 자연스럽게 일자리를 알선해 주었던 룸메이트와 병원에 동행해 준 동료 등 많은 사람의 도움 덕분에 2년 동안 외국 생활을 이어 나갈 수 있었습니다. 이들의 도움에 감사하며, 저 역시 다른 사람에게 도움이 되기 위해 기부와 봉사활동에 참여하였습니다. 이를 통해 선의는 선의를 낳고, 그것이 세상을 더 아름답고 살기 좋게 만든다는 것을 깨닫게 되었습니다. 2년간 해외 생활은 예측 불가능한 실패와 두려움이 가득한 도전이었습니다. 그러나 이 도전을 통해 저는 삶의 가치관을 확립하게 되었습니다. 또한, 영어 실력을 크게 향상했고, 다양한 사람들의 삶의 방향성을 인정하고 존중하는 글로벌 시대의 소양을 갖추게 되었습니다. 이 모든 경험을 바탕으로, 세상에 선한 영향력을 미치며, 끊임없이 배우고 성장하는 삶을 향해 나아가고 있습니다.",로지스올,SCM 영업 및 운영관리,2024 상반기,지거국,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 국내 현장실습 6개월, 미국 인턴 2개월, 영어권 거주 2년","학점 4.3/4.5 성적장학금, 대기업 주최 대외활동, 마케팅 대외활동 2번, 봉사 80시간 기타: 데이터 자격증, GTQ 2급, 운전면허"
2. 장단점 및 특기,"[진취적이고 창의적인 인재]제 장점은 진취적이고 창의적으로 문제를 해결하는 능력입니다.미국의 한 법무법인에서 인턴으로 활동하면서, 구글맵 API를 활용하여 새로운 업무 처리 방식을 제안하여 업무 효율을 향상했습니다.",로지스올,SCM 영업 및 운영관리,2024 상반기,지거국,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 국내 현장실습 6개월, 미국 인턴 2개월, 영어권 거주 2년","학점 4.3/4.5 성적장학금, 대기업 주최 대외활동, 마케팅 대외활동 2번, 봉사 80시간 기타: 데이터 자격증, GTQ 2급, 운전면허"
"사우스캐롤라이나주의 주요 도시에 위치한 병원 데이터베이스를 구축하는 일을 맡았습니다. 병원의 최신 정보를 수집하고, 구글맵 평점 3점 이상의 병원을 따로 표기하는 업무였습니다. 이 과정에서 수작업으로 정보를 기록하는 것이 비효율적이라고 판단하여, 구글맵 API를 활용해 정보를 한 번에 저장하는 방법을 제안했습니다. 챗지피티를 활용하여 평점 3.5 이상이며 후기가 30건 이상인 병원만 필터링하여 엑셀 파일로 저장하는 코드를 작성하였습니다. 이 덕분에 며칠이 걸릴 업무를 단 하루 만에 마칠 수 있었고, 이에 대해 직원분들로부터 같이 일하고 싶은 인재라고 칭찬해 주셨습니다.","한편으로는, 목표를 수행하기 위한 적극적인 태도 때문에 성격이 조금 급한 편입니다. 이를 극복하기 위해 우선순위를 정하고 일을 처리하는 습관을 기르고 있습니다. 리모트 인턴십에서 팀장을 맡으면서 전체 일정을 먼저 정리하고, 각 과제를 일정에 맞춰 수행하는 방식을 적용했습니다. 각 프로젝트의 우선순위를 설정하고 중요한 일부터 처리하였고, 이를 통해 모든 프로젝트를 성공적으로 완료할 수 있었습니다. 이 경험을 통해 급한 성격도 우선순위를 정하고 계획적으로 일을 처리하면 충분히 극복할 수 있다는 것을 배웠습니다. 앞으로도 이런 방식을 실천하고 합니다.",로지스올,SCM 영업 및 운영관리,2024 상반기,지거국,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 국내 현장실습 6개월, 미국 인턴 2개월, 영어권 거주 2년","학점 4.3/4.5 성적장학금, 대기업 주최 대외활동, 마케팅 대외활동 2번, 봉사 80시간 기타: 데이터 자격증, GTQ 2급, 운전면허"
3. 지원동기,"[변화와 혁신을 선도하는 로지스올에서 SCM 전문가로서의 도전]호주에서의 식품 직구 사업을 운영하며, 고객의 만족도가 제품의 품질만 아니라 배송의 정확성과 신속성에도 크게 의존한다는 것을 체감하였습니다. 또한, 코로나19로 인한 공급망의 붕괴로 물류의 중요성이 더욱 강조되었고, 이러한 경험은 저를 물류 업계로 이끌었습니다.공급망을 관리하며, SCM 전문가의 역할이 손실을 최소화하고 문제에 대한 돌파구를 찾는 데 결정적이라는 것을 확인하였습니다. 이 경험을 바탕으로, 예상치 못한 상황에도 유연하게 대응할 수 있는 SCM 전문가로 성장하고자 하는 목표를 설정하게 되었습니다. 물류산업 채용 박람회에서 로지스올의 물류 기술 연구와 표준화 노력을 접하게 되어 높은 관심을 갖게 되었습니다.또한, 호칭 통일 등을 통해 구축한 수평적이고 상호 존중하는 로지스올의 조직문화는 저에게 큰 매력을 줬습니다. 어떤 일이든 혼자서는 해결할 수 없기에, 구성원들이 서로 존중하며 협력하는 것이 개인과 회사의 발전에 가장 중요한 역할을 한다고 생각합니다. 이런 선순환적 성장을 이끄는 로지스올에서, 다른 프로님들과 함께 성장하고 싶습니다.물류의 변화와 혁신을 선도하는 기업인 로지스올에서, 물류의 미래를 함께 만들어 가는 데 기여하고 싶습니다. 그리고 로지스올에서 SCM 영업 및 운영 관리 분야에서 최선을 다하며, 회사의 성장과 발전에 이바지하는 프로가 되기 위해 끊임없이 노력하겠습니다.",로지스올,SCM 영업 및 운영관리,2024 상반기,지거국,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 국내 현장실습 6개월, 미국 인턴 2개월, 영어권 거주 2년","학점 4.3/4.5 성적장학금, 대기업 주최 대외활동, 마케팅 대외활동 2번, 봉사 80시간 기타: 데이터 자격증, GTQ 2급, 운전면허"
4. 장래희망 및 포부,"[글로벌 식자재 SCM 전문가로의 꿈]로지스올에 입사하여, 글로벌 식자재 SCM 전문가로 성장하겠습니다.수습 기간 동안 업무를 숙지하기 위해 영업 제안서 작성, 기존 엑셀 자료를 바탕으로 한 재고 관리 방법, 물류기기 회수 방법 등을 꼼꼼히 학습하겠습니다. 또한, 회사의 핵심 자원인 파렛트, 컨테이너 등의 규격과 재질에 대해 완벽히 숙지하겠습니다.기초적인 업무와 제품 정보를 숙지한 후, 선배 프로님들께서 전해주신 노하우와 협상 역량을 활용하여서 한 해 동안 억 단위의 매출을 달성하는 것이 목표입니다. 이를 위해, 고객의 상품과 관련된 사항을 꾸준히 파악하고, 자연재해가 발생했을 때 손실을 최소화할 수 있도록 추가적인 물류 장비 지원을 제안하겠습니다. 사내 장비와 기존 고객이 보유한 자원, 그리고 각 식자재의 특성을 고려하여 최적의 효율을 계산한 뒤, 기존의 계약 조건을 넘어서는 향상된 솔루션을 제공하여 매출을 끌어올리는 것에 힘쓰겠습니다.또한, 신규 고객 창출을 위해 물류 부자재 판매나 물류기기 대여 영업을 적극적으로 수행하겠습니다. 식품 업계 관련 기사와 소식을 매일 아침 파악하여 수요가 증가할 것 같은 품목이 있다면 경쟁사들보다 먼저 관련 업체에 컨택하겠습니다. 또한, 지역 사회의 농수산물, 가공식품 생산 업체들을 위한 수출 협력업체 입찰 등을 빠르게 파악하여 주도적으로 영업하겠습니다. 이런 적극적인 태도와 열정으로 꼭 목표를 달성하겠습니다.마지막으로, 언제나 초심을 잃지 않고 책임감 있는 전문가로서 로지스올의 발전에 이바지하겠습니다",로지스올,SCM 영업 및 운영관리,2024 상반기,지거국,경영,학점 4.3/4.5,"토익: 945, 오픽: AL","사회생활 경험: 국내 현장실습 6개월, 미국 인턴 2개월, 영어권 거주 2년","학점 4.3/4.5 성적장학금, 대기업 주최 대외활동, 마케팅 대외활동 2번, 봉사 80시간 기타: 데이터 자격증, GTQ 2급, 운전면허"
1. 본인과 다른 의견을 가진 사람들과 효과적으로 소통하여 긍정적인 결과를 얻었거나 공동의 목표를 달성한 사례를 기술해 주십시오.(소통과정에서 본인의 역할과 노력과정을 포함하여 작성할 것) (최대 400자 입력가능),"[팀원과 소통의 연결고리] 대학 시절 유통관리 수업을 통해 팀과제를 수행하였습니다. 팀 내에서 저는 OO기업의 성공 요인과 경쟁사와 비교하여 낮은 원가구조를 조사하는 역할을 맡게 되었고, 팀원들과 역할을 분담한 후 논문자료와 뉴스 기사를 통해 발표 자료를 수집했습니다. 또한, 팀원들과 협력하여 OO기업이 경쟁사와 비교하여 높은 가격 경쟁력을 유지할 수 있는 비즈니스 모델에 대해 분석해 본 결과, OO기업은 원가를 절감하여 원가절감분을 반영한 저렴한 상품으로 소비자에게 제공했기 때문에 높은 가격 경쟁력을 가질 수 있었다고 판단했습니다.  그리하여 OO기업 상품의 원가구조를 설명하는 8개의 팀 중 가장 높은 발표점수를 받을 수 있었던 계기는 업무 분담으로 일궈낸 팀원과의 소통과 협력이었다고 생각합니다.",한국교육과정평가원,행정원,2024 상반기,지거국,경영학부,학점 3.65/4.5,토익: 870,,"학점 3.65/4.5 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 재경관리사"
"2. 본인이 살아오면서 해결한 가장 어려운 과제 혹은 업무는 무엇이며, 해당 경험이 한국교육과정평가원의 직무를 수행하는데 있어서 어떠한 영향을 미칠 수 있는지 기술해 주십시오. (최대 400자 입력가능)","[회사적응 및 팀의 활력소] 저는 OO공공기관에서 비계약 접수 업무를 담당하였습니다. 처음 업무를 배울 때 잦은 실수로 인해 실무부서와의 마찰이 있었고 고객들의 다양한 요청에 적절하게 대응을 못했습니다. 그 후, 차츰차츰 업무에 적응해가며 많은 유형의 고객을 접하였고 야근하는 날에는 틈틈이 업무처리 관련 매뉴얼을 숙지하는 노력으로 부족한 실무능력을 보완하였습니다.  그리하여 실무부서와의 마찰을 많이 줄었으며 열린 마음으로 민원 업무를 하면서 고객과의 소통으로 고객이 필요로 하는 것을 먼저 파악하여 도와드리는 고객지향적인 역량을 키웠습니다.  한국교육과정평가원에 입사 후, 행정업무를 수행할 때 항상 열린 마음으로 고객과 소통하고 공공기관의 직원으로서 청렴한 자세로 정직하게 업무를 수행하겠습니다.",한국교육과정평가원,행정원,2024 상반기,지거국,경영학부,학점 3.65/4.5,토익: 870,,"학점 3.65/4.5 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 재경관리사"
"3. 본인이 생각하는 한국교육과정평가원의 가장 중요한 최근 이슈가 무엇인지 기술하고, 이에 대한 해결 방안이나, 발전 방향 제언 등 본인의 의견을 기술해 주십시오.(모집분야와 관련된 이슈를 작성할 것) (최대 400자 입력가능)","[변별력과 경쟁력을 강화한 수능] 저는 수능 개편 연구가 가장 중요한 이슈라고 생각합니다. 한국교육과정평가원은 이번 수능 개편 연구를 통해 학점제용으로 대입에서 수능을 대입자격고사로 바꾸기 위한 작업을 진행 중입니다. 향후 수능을 대입 자격고사로 전환하려면 국어, 수학, 탐구 영역을 절대평가로 개편하는 작업이 선행돼야 하는데 고교학점제 시대에 맞게 시행될 새 대입제도의 수능은 대입자격을 얻는 시험으로 바뀌고 평가방식도 절대평가로 변화돼야 된다고 생각합니다. 더불어, 대학 입시 변별력을 확보하기 위해서는 수능성적에 더해 각 대학별 고사를 실시해야하고 수능으로 대입자격을 확인한 뒤 대학별 논술, 구술, 면접 평가 등을 통해 우수 학생을 뽑는다면 대학 입시의 변별력을 확보할 수 있을 것으로 판단됩니다.",한국교육과정평가원,행정원,2024 상반기,지거국,경영학부,학점 3.65/4.5,토익: 870,,"학점 3.65/4.5 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 재경관리사"
4. 본인이 모집분야와 관련한 어떤 일을 처리함에 있어 필요한 기술을 알지 못해 실패하였거나 어려움을 겪은 사례와 그 필요한 기술능력을 향상시키기 위하여 노력한 사례를 기술해 주십시오. (최대 400자 입력가능),[한국교육과정평가원에 필요한 나] 저는 공공기관 인턴으로 근무하면서 정보처리능력을 발휘하여 업무효율을 이뤄낸 경험이 있습니다. 설문조사 자료의 5가지 항목을 부여해서 기관별 점수의 합계를 구하는 업무를 맡게 되었습니다. 방대한 양의 데이터를 일일이 함수를 이용하여 합계를 구하는 방법은 오랜 시간이 걸렸고 더욱 효율적인 업무처리 방법에 대해 생각해 보았습니다. 피벗테이블 기능을 활용하여 범위를 지정하고 열 레이블과 행 레이블 입력만으로 필요한 숫자 데이터가 계산되어 나왔고 함수식을 써서 계산하는 번거로움을 해결할 수 있었습니다.  기존의 방법 대비 시간을 60% 정도 단축할 수 있었고 터득한 노하우를 다른 업무를 수행할 때에도 적용하여 더욱 높은 효과를 낼 수 있었고 엑셀 실무능력을 향상시켰습니다.,한국교육과정평가원,행정원,2024 상반기,지거국,경영학부,학점 3.65/4.5,토익: 870,,"학점 3.65/4.5 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 재경관리사"
